Country,combined figures (kg/capita/year),Household estimate (kg/capita/year),Household estimate (tonnes/year),Retail estimate (kg/capita/year),Retail estimate (tonnes/year),Food service estimate (kg/capita/year),Food service estimate (tonnes/year),Confidence in estimate,Region
Solomon Islands,135,91,60963,16,10476,28,18519,Very Low Confidence,Melanesia
Somalia,147,103,1585898,16,241530,28,426966,Very Low Confidence,Sub-Saharan Africa
South Africa,84,40,2329228,16,915865,28,1619024,Very Low Confidence,Sub-Saharan Africa
South Sudan,147,103,1136015,16,173014,28,305846,Very Low Confidence,Sub-Saharan Africa
Spain,116,77,3613954,13,598760,26,1195080,Low Confidence,Southern Europe
Sri Lanka,120,76,1617738,16,333508,28,589559,Very Low Confidence,Southern Asia
State of Palestine,145,101,501602,16,77910,28,137726,Very Low Confidence,Western Asia
Sudan,141,97,4162396,16,669608,28,1183703,Very Low Confidence,Northern Africa
Suriname,116,72,42112,16,9093,28,16075,Very Low Confidence,Latin America and the Caribbean
Sweden,112,81,812948,10,100364,21,205746,High Confidence,Northern Europe
Switzerland,125,72,615790,13,110067,40,343656,Low Confidence,Western Europe
Syrian Arab Republic,148,104,1771842,16,266980,28,471955,Very Low Confidence,Western Asia
Tajikistan,141,97,906209,16,145783,28,257708,Very Low Confidence,Central Asia
Thailand,123,79,5478532,16,1088960,28,1925014,Very Low Confidence,South-eastern Asia
Timor-Leste,130,86,111643,16,20224,28,35752,Very Low Confidence,South-eastern Asia
Togo,147,103,830017,16,126411,28,223463,Very Low Confidence,Sub-Saharan Africa
Tonga,120,76,7912,16,1634,28,2889,Very Low Confidence,Polynesia
Trinidad and Tobago,113,74,103119,13,17872,26,35671,Low Confidence,Latin America and the Caribbean
Tunisia,135,91,1064407,16,182908,28,323336,Very Low Confidence,Northern Africa
Turkey,137,93,7762575,16,1304858,28,2306668,Very Low Confidence,Western Asia
Turkmenistan,120,76,449895,16,92936,28,164288,Very Low Confidence,Central Asia
Turks and Caicos Islands,113,74,2824,13,489,26,977,Low Confidence,Latin America and the Caribbean
Tuvalu,120,76,878,16,181,28,321,Very Low Confidence,Polynesia
Uganda,147,103,4546237,16,692387,28,1223969,Very Low Confidence,Sub-Saharan Africa
Ukraine,120,76,3344904,16,688070,28,1216338,Very Low Confidence,Eastern Europe
United Arab Emirates,134,95,923625,13,125173,26,249836,Low Confidence,Western Asia
United Kingdom,98,77,5199825,4,283627,17,1114248,High Confidence,Northern Europe
United Rep. of Tanzania,163,119,6907649,16,907219,28,1603740,Very Low Confidence,Sub-Saharan Africa
United States of America,139,59,19359951,16,5151313,64,20934827,High Confidence,Northern America
United States Virgin Islands,113,74,7732,13,1340,26,2675,Low Confidence,Latin America and the Caribbean
Uruguay,113,74,255892,13,44349,26,88517,Low Confidence,Latin America and the Caribbean
Uzbekistan,135,91,3001868,16,515841,28,911881,Very Low Confidence,Central Asia
Vanuatu,135,91,27296,16,4691,28,8292,Very Low Confidence,Melanesia
Venezuela (Boliv. Rep. of),116,72,2065461,16,445994,28,788407,Very Low Confidence,Latin America and the Caribbean
Viet Nam,120,76,7346717,16,1508689,28,2666991,Very Low Confidence,South-eastern Asia
Yemen,148,104,3026946,16,456099,28,806270,Very Low Confidence,Western Asia
Zambia,122,78,1391729,16,279350,28,493822,Very Low Confidence,Sub-Saharan Africa
Zimbabwe,144,100,1458564,16,229059,28,404920,Very Low Confidence,Sub-Saharan Africa
